Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,perc_per_text,perc_wood_text,perc_ag_text,floral_symm_text,mating_system_text,repro_syndrome_text,pollination_syndrome_text,redlist_text,tavg_text,cvalue_text,cv_cvalue_text,image_url
Aciphylla,Apiaceae,Apiales,0,0,1,0,0.003968254,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,vegetative reproduction,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/2/2d/Aciphylla_colensoi.jpg
Aconitum,Ranunculaceae,Ranunculales,0.653594771,0.055555556,1,0,0,.,1,0.958333333,1,.,0.884,5.44,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,parthenogenesis,wind-pollinated,low extinction risk,warm climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aconitum_variegatum_110807f.jpg
Acorus,Acoraceae,Acorales,0,0,1,0,0,.,1,0,1,.,.,0.525,33.67175149,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,unspecified reproductive syndrome,wind-pollinated,low extinction risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/b/b7/Acorus_calamus.spadix.jpg
Acrotriche,Ericaceae,Ericales,0,0,1,1,0,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 0% of species are agamic,radial symmetry,selfing,obligate asexual reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/4/4a/Acrotriche_aggregata.jpg
Actaea,Ranunculaceae,Ranunculales,16.66666667,0.25,1,0,0,.,1,0.5,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agamic,radial,selfing,dioecious,insect-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,No image found
Actinotus,Apiaceae,Apiales,0,0,0.5,0,0.003968254,.,.,.,.,.,.,.,.,About 50% of species are perennial,About 0% of species are woody,About 0% of species are agamospermous,radial symmetry,mixed mating system,seed-propagated,insect-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/8/8b/Actinotus_helianthi_and_Actinotus_forsythii_pic2.jpg
Adenocarpus,Fabaceae,Fabales,0,0,1,1,0.096494845,1,.,.,.,.,.,0.875,4.040610178,About 100% of species are perennial,About 100% of species are woody,About 10% of species are used in agriculture,radial,Likely a mixed mating system with both selfing and outcrossing,Reproduction is likely primarily sexual,Likely insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/0/03/Adenocarpus_viscosus.jpg
Adenophora,Campanulaceae,Asterales,0,0,1,0,0,.,1,1,1,.,.,4.72,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agamospermous,radial symmetry,selfing,obligate xenogamy,insect-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/6b/Adenophora_bulleyana_-_2.JPG
Adenophorus,Polypodiaceae,Monilophyta,6.666666667,0.3,1,0,0,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are annual,radial symmetry,mixed mating system,standard reproductive syndrome,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/6/6e/Starr_040713-0077_Adenophorus_tamariscinus.jpg
Adenophyllum,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,seed-dispersed by animals,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/97/Cooper_dyssodia.jpg
Adenostoma,Rosaceae,Rosales,0,0,1,1,0.001060071,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 0% of species are agricultural,Unknown floral symmetry,Unknown mating system,Unknown reproductive syndrome,Unknown pollination syndrome,Low extinction risk,Cold climates,Small genome,Low variation,https://upload.wikimedia.org/wikipedia/commons/9/9d/Adenostomafasciculatum.jpg
Adenostyles,Asteraceae,Asterales,33.33333333,0.333333333,1,0,0.00210989,.,1,0.5,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,obligate selfing,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/c/c1/Adenostyles_leucophylla.JPG
Adiantum,Pteridaceae,Monilophyta,0.526315789,0.05,1,0,0,.,.,.,1,3.666666667,.,5.13,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,bilateral symmetry,mixed mating system,self-pollination,insect-pollinated,high risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/1/12/Adiantum_pedatum_09905.JPG
Adonis,Ranunculaceae,Ranunculales,2.222222222,0.1,0.6,0,0,.,1,0.875,1,.,.,15.5,12.31734393,About 60% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,vegetative reproduction,wind-pollinated,low extinction risk,temperate climates,large genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/0/05/Cupid_with_Venus_and_Adonis%2C_fresco_in_Pompeii.jpg
Adriana,Euphorbiaceae,Malpighiales,0,0,1,1,0.01239531,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 1% of species are agroforestry,radial symmetry,selfing,agam – asexual reproduction by budding,wind-pollinated,low extinction risk,cold climates,small genome,low variation,No image found
Aegilops,Poaceae,Poales,0.952380952,0.066666667,0,0,0.074314214,.,.,.,0,.,.,8.908615385,41.28191488,About 0% of species are perennial,About 0% of species are woody,About 7% of species are agricultural,radial,mixed mating,self-pollinating,wind-pollinated,low extinction risk,warm climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/4/4e/Aegilops_geniculata_Enfoque_2010-5-08_DehesaBoyaldePuertollano.jpg
Aeluropus,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,8.4,.,About 1% of species are perennial,About 0% of species are woody,About 7% of species are agricultural,radial symmetry,mixed mating system,typical reproductive syndrome,insect-pollinated,low extinction risk,temperate climates,large genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/7/70/Aeluropus_littoralis_%28Les_Chalets_Gruissan_14%29.JPG
Aeonium,Crassulaceae,Saxifragales,0,0,1,1,0,.,.,.,.,.,.,0.937333333,107.3211613,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agricultural,bilateral symmetry,selfing,dioecious,wind-pollinated,low extinction risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/0/08/Aeonium_undulatum.JPG
Aesculus,Sapindaceae,Sapindales,0,0,1,1,0.001265823,.,1,1,1,2,.,0.365,0,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agrochemicals,radial symmetry,selfing,dioecious,insect-pollinated,moderate risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/e/eb/Aesculus_hippocastanum_flori.jpg
Aethionema,Brassicaceae,Brassicales,0,0,0.9,0,0.00485306,.,1,1,1,4,.,0.71,0,About 90% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,self-pollinating,wind-pollinated,high risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/90/Aethionema_grandiflora0.jpg
Agalinis,Orobanchaceae,Lamiales,0,0,0,0,0,.,.,.,.,.,0.469,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agamic,radial,selfing,vegetative reproduction,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/0/00/Agalinis_tenuifolia_2.jpg
Agalinus,Orobanchaceae,Lamiales,0,0,0,0,0,.,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agamic,radial,mixed mating system,sexual reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,No image found
Agastache,Lamiaceae,Lamiales,0,0,1,0,0.004320557,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,standard reproductive syndrome,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/86/Hoverfly_on_Agastache_Blue_Fortune.jpg
Agave,Asparagaceae,Asparagales,0,0,1,0,0,0,.,.,1,.,.,6.470684932,34.23608512,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agriculturally important,radial,selfing,self-pollination,wind-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/2/21/Agave_americana_R01.jpg
Ageratina,Asteraceae,Asterales,0,0,1,0.5,0.00210989,.,.,.,.,0.9,.,.,.,About 100% of species are perennial,About 50% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,outcrossing with occasional selfing,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/2/22/Ageratina_adenophora_%28Buds%29.jpg
Ageratum,Asteraceae,Asterales,0,0,0.5,0,0.00210989,0,.,.,1,2,.,.,.,About 50% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,sexual reproduction,wind-pollinated,moderate risk,temperate climates,medium genome,low variation,https://upload.wikimedia.org/wikipedia/commons/b/b5/Ageratum_corymbosum_%28Asteraceae%29_-_Cielitos.jpg
Agoseris,Asteraceae,Asterales,3.03030303,0.166666667,0.833333333,0,0.00210989,.,.,.,.,.,.,2.4625,44.21783094,About 83% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,reproduction by seeds,insect-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/3/35/Agoserisglauca.jpg
Agrimonia,Rosaceae,Rosales,0.653594771,0.055555556,1,0,0.001060071,.,1,0.75,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,parthenogenesis,insect-pollinated,low extinction risk,temperate climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/2/26/Agrimonia_eupatoria_-_Keila.jpg
Agropyron,Poaceae,Poales,5.627705628,0.590909091,1,0,0.074314214,.,.,.,.,.,.,9.37,35.56842708,About 1% of species are perennial,About 0% of species are woody,About 7% of species are agriculturally important,radial symmetry,mixed mating system,wind-pollinated and insect-pollinated,wind-pollinated,low extinction risk,temperate climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/c/c0/Agropyron_cristatum_illustration_%2801%29.jpg
Agrostemma,Caryophyllaceae,Caryophyllales,0,0,0,0,0.001818182,.,1,1,1,.,.,2.1,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,inflorescence,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/1/12/Kornrade2.jpg
Agrostis,Poaceae,Poales,0.293040293,0.152380952,0.808411215,0,0.074314214,.,1,0.576923077,0,1.166666667,.,5.437586207,45.418384,About 81% of species are perennial,About 0% of species are woody,About 7% of species are agricultural,radial,selfing,mostly self-pollinating,wind-pollinated,moderate risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/b/b8/Gewoon_struisgras_Agrostis_tenuis.jpg
Aichryson,Crassulaceae,Saxifragales,0,0,0,0,0,.,.,.,.,.,.,0.685,1.032272673,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,Unknown floral symmetry,Unknown mating system,Unknown reproductive syndrome,Unknown pollination syndrome,Low extinction risk,Cold climates,Small genome,Low variation,https://upload.wikimedia.org/wikipedia/commons/9/9e/Aichryson_punctatum.jpg
Aira,Poaceae,Poales,0,0,0,0,0.074314214,.,1,1,0,.,.,4.3275,36.3613866,About 0% of species are perennial,About 0% of species are woody,About 7% of species are agricultural,radial,selfing,wind-pollinated,wind-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/6/6b/Aira_caryophyllea_FWS-01.jpg
Ajuga,Lamiaceae,Lamiales,3.80952381,0.266666667,0.866666667,0,0.004320557,.,1,0.875,1,.,.,.,.,About 87% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,mixed mating system,dioecious,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/4/48/Ajuga_reptans_LC0138.jpg
Albizia,Fabaceae,Fabales,0,0,1,1,0.096494845,0,.,.,1,1.966666667,0.951,1.215,7.565751568,About 100% of species are perennial,About 100% of species are woody,About 10% of species are agricultural,radial,unknown,unknown,wind-pollinated,moderate risk,warm climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/3/3d/Albizia_julibrissin4.jpg
Alcea,Malvaceae,Malvales,0,0,1,0,0.006153846,.,1,1,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial symmetry,selfing,sexual reproduction,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/96/Alcea_setosa.jpg
Alchemilla,Rosaceae,Rosales,0.012986001,0.017985612,1,0,0.001060071,0,0,0.5,1,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,self-pollination,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/62/Lady%27s_Mantle_Alchemilla_vulgaris_2816px.jpg
Alectryon,Sapindaceae,Sapindales,0,0,1,1,0.001265823,.,.,.,.,3,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 0% of species are agriculturally important,radial,selfing,self-pollination,wind-pollinated,moderate risk,temperate climates,small genome,moderate variation,No image found
Alhagi,Fabaceae,Fabales,0,0,1,1,0.096494845,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 9.65% of species are agriculturally important,radial symmetry,mixed mating system,vegetative reproduction,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/b/b3/Alhagi_maurorum_Taub123b.png
Alisma,Alismataceae,Alismatales,0.526315789,0.05,0.925,0.1,0,.,1,0.5,0.833333333,.,.,12.7125,6.471772929,About 93% of species are perennial,About 10% of species are woody,About 0% of species are agriculturally important,radial,selfing,primarily seed-mediated,insect-pollinated,low extinction risk,warm climates,large genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/68/Alisma_plantago-aquatica20090812_259.jpg
Alkanna,Boraginaceae,Boraginales,0,0,0.941176471,0,0.001824818,.,.,.,.,.,.,.,.,About 94% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,obligate apomixis,wind-pollinated,low extinction risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/2/2a/Alkanna_orientalis01.jpg
Allium,Amaryllidaceae,Asparagales,0,0,1,0,0,0,1,0.543478261,1,4,0.91,19.9175,35.5560929,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agriculturally significant,radial,selfing,"This species likely reproduces through vegetative means or has a high rate of self-pollination, given the low value for reproductive syndrome.",insect-pollinated,high risk,warm climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/c/c9/Ursa_ajlo_1.jpg
Allocasuarina,Casuarinaceae,Fagales,1.818181818,0.090909091,1,1,0.094736842,.,.,.,.,.,.,0.95,.,About 100% of species are perennial,About 100% of species are woody,About 9% of species are agricultural,radial symmetry,selfing,generalist reproductive syndrome,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/c/ce/Allocasuarina_decaisneana.jpg
Allophyllum,Polemoniaceae,Ericales,0,0,0,0,0,.,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,self-pollination,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/d/d2/Allophyllumglutinosum.jpg
Almaleea,Fabaceae,Fabales,0,0,1,1,0.096494845,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 1% of species are woody,About 10% of species are cultivated,radial,mixed mating system,animal-mediated reproduction,insect-pollinated,low extinction risk,cold climates,small genome,moderate variation,No image found
Alnus,Betulaceae,Fagales,0.865800866,0.090909091,1,1,0.054545455,.,1,0.833333333,0,0.166666667,0.913666667,0.642,19.74571709,About 100% of species are perennial,About 100% of species are woody,About 5% of species are agroforestry-related,radial,selfing,obligate autogamy,wind-pollinated,low extinction risk,warm climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/2/2c/20120904Alnus_glutinosa01.jpg
Aloe,Xanthorrhoeaceae,Asparagales,0,0,1,0.555555556,0,0,.,.,.,1.5,.,16.91779817,26.17850112,About 100% of species are perennial,About 56% of species are woody,About 0% of species are cultivated,radial,selfing,unknown,unknown,moderate risk,temperate climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/4/4c/Aloe_arborescens_on_Monte_Vumba_%284387600468%29.jpg
Alopecurus,Poaceae,Poales,0.634249471,0.136363636,0.647727273,0,0.074314214,.,1,0.642857143,0,.,.,8.914,71.57951463,About 65% of species are perennial,About 0% of species are woody,About 7% of species are agriculturally important,radial symmetry,selfing,dioecious,wind-pollinated,low extinction risk,temperate climates,large genome,high variation,https://upload.wikimedia.org/wikipedia/commons/d/d8/Alopecurus_myosuroides1.jpg
Alsinidendron,Caryophyllaceae,Caryophyllales,0,0,1,0,0.001818182,.,.,.,.,4,0,0.833333333,13.48777224,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,autogamy,wind-pollinated,high risk,cold climates,small genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/6/69/Schiedea_globosa_-_globe_schiedea_-_stat-vulnerable_-_desc-flowers.jpg
Alternanthera,Amaranthaceae,Caryophyllales,0,0,0.821428571,0.071428571,0.041463415,0,.,.,0.5,1.888888889,.,.,.,About 82% of species are perennial,About 7% of species are woody,About 4% of species are agricultural,radial,mixed mating system,reproduces sexually,insect-pollinated,moderate risk,temperate climates,medium genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/c/c3/Starr_030523-0122_Alternanthera_pungens.jpg
Althaea,Malvaceae,Malvales,0,0,0.611111111,0,0.006153846,.,1,1,1,.,.,.,.,About 61% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial,selfing,requires external agents for reproduction,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,No image found
Alyssoides,Brassicaceae,Brassicales,0,0,1,0,0.00485306,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial or bilateral symmetry,mixed mating system,sexual reproduction,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/81/Alyssoides_utriculata_-_Berlin_Botanical_Garden_-_IMG_8506.JPG
Alyssum,Brassicaceae,Brassicales,0,0,0.675324675,0,0.00485306,.,1,1,1,.,.,0.58,.,About 68% of species are perennial,About 0% of species are woody,About 0% of species are annual,radial,selfing,abiotic,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/3/3b/Alyssum_montanum_ENBLA06.jpg
Amaranthus,Amaranthaceae,Caryophyllales,0.380734818,0.194174757,0.04368932,0,0.041463415,0,1,1,0,2,0.199,0.735263158,23.54830959,About 4% of species are perennial,About 0% of species are woody,About 4% of species are annual,radial,selfing,obligate selfing,wind-pollinated,moderate risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/9/91/Amaranthus_tricolor0.jpg
Ambrosia,Asteraceae,Asterales,0.158562368,0.034090909,0.547619048,0.170454545,0.00210989,.,1,0.666666667,0,.,0.95,2.375,49.9008065,About 55% of species are perennial,About 17% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,herbaceous perennial growth,wind-pollinated,low extinction risk,warm climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/c/c9/WLANL_-_MicheleLovesArt_-_Museum_Boijmans_Van_Beuningen_-_Istoriato_schotel%2C_de_maaltijd_der_Goden_op_de_Olympus.jpg
Amelanchier,Rosaceae,Rosales,1.169590643,0.105263158,1,1,0.001060071,.,1,0.875,1,.,.,1.1175,25.89801521,About 100% of species are perennial,About 100% of species are woody,About 0% of species are in agriculture,radial symmetry,selfing,herbaceous,wind-pollinated,low extinction risk,cold climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/1/16/Amelanchier_grandiflora2.jpg
